time,uma,lat,lon,mp01,mp25,mp10,d03,d05,d01,d25,d50,d10,vel
11:15:56,1,-38.732689,-72.645523,1,1,2,375,97,9,2,2,0,0.1
11:15:58,1,-38.732689,-72.645523,1,1,4,321,87,11,6,6,0,0.1
11:16:00,1,-38.732681,-72.645546,1,1,4,303,81,8,6,6,0,0.1
11:16:02,1,-38.732670,-72.645569,1,1,4,336,84,8,6,6,0,0.1
11:16:04,1,-38.732666,-72.645576,1,1,4,354,88,8,6,6,0,0.3
11:16:06,1,-38.732666,-72.645584,1,1,4,363,93,8,6,6,0,0.4
11:16:08,1,-38.732662,-72.645584,1,1,4,351,89,7,5,5,0,0.1
11:16:10,1,-38.732666,-72.645584,1,1,4,357,94,7,5,5,0,0.7
11:16:12,1,-38.732670,-72.645576,1,1,3,336,90,6,4,4,0,0.2
11:16:14,1,-38.732677,-72.645576,1,1,3,315,85,6,4,4,0,0.7
11:16:16,1,-38.732677,-72.645569,1,1,1,282,70,1,0,0,0,1.0
11:16:18,1,-38.732685,-72.645569,0,0,0,276,67,1,0,0,0,0.5
11:16:20,1,-38.732689,-72.645561,1,1,1,270,71,1,0,0,0,1.1
11:16:21,1,-38.732693,-72.645569,1,1,1,270,75,1,0,0,0,1.1
11:16:23,1,-38.732681,-72.645546,1,1,1,270,75,1,0,0,0,3.6
11:16:25,1,-38.732647,-72.645485,0,0,0,273,69,1,0,0,0,6.5
11:16:27,1,-38.732590,-72.645439,0,0,0,252,60,1,0,0,0,7.7
11:16:29,1,-38.732529,-72.645393,1,1,1,300,73,2,1,1,0,7.7
11:16:31,1,-38.732487,-72.645348,1,1,1,342,87,2,1,1,0,5.5
11:16:33,1,-38.732460,-72.645309,1,1,1,357,91,1,1,1,0,4.9
11:16:35,1,-38.732399,-72.645264,1,1,1,369,95,1,1,1,0,8.4
11:16:36,1,-38.732361,-72.645218,1,1,1,348,91,1,1,1,0,11.8
11:16:38,1,-38.732246,-72.645111,1,1,1,363,98,2,1,1,0,16.1
11:16:40,1,-38.732113,-72.644981,1,1,1,330,85,2,1,1,0,19.1
11:16:42,1,-38.731953,-72.644852,1,1,1,378,99,2,1,1,0,20.7
11:16:44,1,-38.731819,-72.644722,1,1,2,378,103,2,1,1,0,17.3
11:16:46,1,-38.731770,-72.644608,1,1,2,387,110,2,1,1,0,9.9
11:16:48,1,-38.731781,-72.644478,1,1,1,339,97,1,0,0,0,10.6
11:16:50,1,-38.731808,-72.644325,1,1,1,300,84,1,0,0,0,12.2
11:16:52,1,-38.731846,-72.644173,1,1,1,273,77,1,0,0,0,12.7
11:16:54,1,-38.731888,-72.644012,1,1,1,288,80,2,1,1,0,12.9
11:16:56,1,-38.731937,-72.643867,0,0,1,228,60,1,1,1,0,11.6
11:16:58,1,-38.731983,-72.643738,0,0,1,243,67,1,1,1,0,10.4
11:17:00,1,-38.732006,-72.643654,1,1,1,231,65,2,1,1,0,5.3
11:17:02,1,-38.732010,-72.643639,0,0,1,204,61,2,1,1,0,0.7
11:17:04,1,-38.732010,-72.643631,0,0,1,177,51,2,1,1,0,0.1
11:17:06,1,-38.732010,-72.643631,0,0,1,171,49,2,1,1,0,0.1
11:17:08,1,-38.732006,-72.643631,0,0,1,189,49,2,1,1,0,0.1
11:17:10,1,-38.732010,-72.643639,0,0,1,195,50,2,1,1,0,0.7
11:17:14,1,-38.732010,-72.643547,0,0,0,159,40,1,0,0,0,8.2
11:17:16,1,-38.731998,-72.643394,0,0,0,144,33,1,0,0,0,14.2
11:17:18,1,-38.731945,-72.643196,0,0,0,150,30,0,0,0,0,18.3
11:17:20,1,-38.731838,-72.642998,0,0,0,171,35,0,0,0,0,20.5
11:17:22,1,-38.731754,-72.642845,0,0,0,183,40,0,0,0,0,13.7
11:17:24,1,-38.731682,-72.642723,0,0,0,198,46,3,0,0,0,13.9
11:17:26,1,-38.731598,-72.642563,0,0,0,198,50,3,0,0,0,17.3
11:17:28,1,-38.731548,-72.642372,0,0,0,183,49,3,0,0,0,15.4
11:17:30,1,-38.731567,-72.642212,0,0,0,180,48,3,0,0,0,13.5
11:17:32,1,-38.731655,-72.642044,0,0,0,216,55,3,0,0,0,16.9
11:17:34,1,-38.731758,-72.641846,1,1,1,252,68,4,1,1,0,20.7
11:17:36,1,-38.731880,-72.641624,1,1,1,258,73,4,1,1,0,22.8
11:17:38,1,-38.731998,-72.641396,1,1,1,252,73,4,1,1,0,22.5
11:17:40,1,-38.732090,-72.641151,1,1,1,273,75,4,1,1,0,22.9
11:17:42,1,-38.732166,-72.640892,0,1,1,258,71,2,1,1,0,23.4
11:17:44,1,-38.732235,-72.640617,1,1,1,264,73,2,1,1,0,24.4
11:17:46,1,-38.732296,-72.640388,1,1,1,306,85,2,1,1,0,18.7
11:17:48,1,-38.732327,-72.640282,1,1,2,354,97,5,1,1,0,5.9
11:17:50,1,-38.732334,-72.640259,1,1,2,390,104,8,1,1,0,0.6
11:17:52,1,-38.732334,-72.640251,1,1,2,408,107,12,1,0,0,1.2
11:17:54,1,-38.732353,-72.640205,1,1,2,408,107,12,1,0,0,6.4
11:17:56,1,-38.732388,-72.640083,1,2,3,441,118,21,1,0,0,11.6
11:17:58,1,-38.732433,-72.639915,2,2,3,447,125,22,1,0,0,15.6
11:18:00,1,-38.732483,-72.639717,2,2,3,474,125,22,1,0,0,17.4
11:18:02,1,-38.732540,-72.639511,2,2,3,510,138,22,1,0,0,18.2
11:18:04,1,-38.732594,-72.639275,2,2,3,522,138,23,1,0,0,21.0
11:18:06,1,-38.732651,-72.639000,2,2,3,504,131,20,1,0,0,23.9
11:18:08,1,-38.732708,-72.638710,2,2,3,486,129,20,1,0,0,25.3
11:18:10,1,-38.732777,-72.638412,1,2,2,435,118,12,0,0,0,26.3
11:18:12,1,-38.732838,-72.638115,1,2,2,429,116,12,0,0,0,25.2
11:18:14,1,-38.732910,-72.637810,1,1,1,447,115,4,0,0,0,26.4
11:18:16,1,-38.732990,-72.637497,2,2,2,480,124,4,0,0,0,25.8
11:18:20,1,-38.733109,-72.636932,2,2,2,480,125,4,0,0,0,22.8
11:18:22,1,-38.733162,-72.636703,2,2,2,480,127,3,0,0,0,17.5
11:18:24,1,-38.733208,-72.636520,2,2,2,471,129,3,0,0,0,16.7
11:18:26,1,-38.733253,-72.636322,2,2,2,477,131,3,0,0,0,18.0
11:18:28,1,-38.733303,-72.636093,2,2,2,471,124,6,0,0,0,21.7
11:18:30,1,-38.733345,-72.635811,2,2,2,483,126,9,0,0,0,23.9
